p1_hand_category;p1_hand_rank;p1_hand_value;p2_hand_category;p2_hand_rank;p2_hand_value;p1_action_0;p1_raise_0;p2_action_0;p2_raise_0;p1_action_1;p1_raise_1;p2_action_1;p2_raise_1;p1_action_2;p1_raise_2;p2_action_2;p2_raise_2;p1_action_3;p1_raise_3;p2_action_3;p2_raise_3;p1_money_left;p2_money_left;p1_spent_per_hand_value;p2_spent_per_hand_value;p1_final_action;p2_final_action
2;11;35;8;4;406;2;5;2;10;2;20;1;20;-1;-1;-1;-1;-1;-1;-1;-1;377;372;0.657142857142857;0.068965517241379;2;1
5;13;320;2;14;120;2;5;2;10;2;20;2;77;1;77;-1;-1;-1;-1;-1;-1;299;315;0.315625;0.708333333333333;1;2
0;14;230;4;6;357;2;5;2;10;2;20;1;20;-1;-1;-1;-1;-1;-1;-1;-1;377;372;0.1;0.07843137254902;2;1
0;4;173;5;14;374;2;5;2;10;2;87;1;87;-1;-1;-1;-1;-1;-1;-1;-1;310;305;0.520231213872832;0.254010695187166;2;1
6;10;447;2;14;195;2;5;2;10;2;20;2;40;1;40;-1;-1;-1;-1;-1;-1;336;352;0.143176733780761;0.246153846153846;1;2
1;9;486;2;11;220;2;5;2;10;2;20;2;40;0;0;-1;-1;-1;-1;-1;-1;376;352;0.049382716049383;0.218181818181818;0;2
1;11;216;8;10;495;2;5;2;10;2;3;2;6;0;0;-1;-1;-1;-1;-1;-1;393;386;0.032407407407407;0.028282828282828;0;2
1;9;297;8;14;476;2;5;2;10;2;20;2;40;0;0;-1;-1;-1;-1;-1;-1;376;352;0.080808080808081;0.100840336134454;0;2
0;10;109;2;13;485;2;5;2;10;2;52;3;475;-1;-1;-1;-1;-1;-1;-1;-1;345;-83;0.504587155963303;0.995876288659794;2;3
3;10;242;2;12;156;2;5;2;10;2;20;1;20;-1;-1;-1;-1;-1;-1;-1;-1;377;372;0.09504132231405;0.179487179487179;2;1
2;10;129;6;11;427;2;5;2;10;2;20;2;40;1;40;-1;-1;-1;-1;-1;-1;336;352;0.496124031007752;0.112412177985948;1;2
0;13;330;0;14;123;2;5;2;10;2;20;0;0;-1;-1;-1;-1;-1;-1;-1;-1;377;392;0.06969696969697;0.065040650406504;2;0
1;6;285;1;7;243;2;5;2;10;2;20;0;0;-1;-1;-1;-1;-1;-1;-1;-1;377;392;0.080701754385965;0.032921810699589;2;0
4;8;367;2;10;80;2;5;2;10;2;20;1;20;-1;-1;-1;-1;-1;-1;-1;-1;377;372;0.062670299727521;0.35;2;1
2;10;370;2;14;360;2;5;2;10;2;20;1;20;-1;-1;-1;-1;-1;-1;-1;-1;377;372;0.062162162162162;0.077777777777778;2;1
0;2;142;3;4;327;2;5;2;10;2;61;1;61;-1;-1;-1;-1;-1;-1;-1;-1;336;331;0.450704225352113;0.211009174311927;2;1
2;12;170;3;9;469;2;5;2;10;2;20;2;40;0;0;-1;-1;-1;-1;-1;-1;376;352;0.141176470588235;0.102345415778252;0;2
1;14;130;6;14;269;2;5;2;10;2;53;1;53;-1;-1;-1;-1;-1;-1;-1;-1;344;339;0.430769230769231;0.226765799256506;2;1
4;5;362;0;12;160;2;5;2;10;2;20;0;0;-1;-1;-1;-1;-1;-1;-1;-1;377;392;0.06353591160221;0.05;2;0
5;7;385;2;14;111;2;5;2;10;2;20;1;20;-1;-1;-1;-1;-1;-1;-1;-1;377;372;0.05974025974026;0.252252252252252;2;1
1;2;233;6;3;440;2;5;2;10;2;20;2;40;0;0;-1;-1;-1;-1;-1;-1;376;352;0.103004291845494;0.109090909090909;0;2
1;2;424;0;13;216;2;5;2;10;2;20;0;0;-1;-1;-1;-1;-1;-1;-1;-1;377;392;0.054245283018868;0.037037037037037;2;0
2;11;146;4;8;277;2;5;2;10;2;20;1;20;-1;-1;-1;-1;-1;-1;-1;-1;377;372;0.157534246575342;0.101083032490975;2;1
1;12;304;1;2;150;2;5;2;10;2;163;0;0;-1;-1;-1;-1;-1;-1;-1;-1;234;392;0.546052631578947;0.053333333333333;2;0
1;3;423;2;14;410;2;5;2;10;2;20;1;20;-1;-1;-1;-1;-1;-1;-1;-1;377;372;0.054373522458629;0.068292682926829;2;1
1;4;226;3;5;445;2;5;2;10;2;20;2;40;0;0;-1;-1;-1;-1;-1;-1;376;352;0.106194690265487;0.107865168539326;0;2
4;5;409;2;12;201;2;5;2;10;2;20;1;20;-1;-1;-1;-1;-1;-1;-1;-1;377;372;0.056234718826406;0.139303482587065;2;1
1;7;206;5;6;478;2;5;2;10;2;20;2;40;0;0;-1;-1;-1;-1;-1;-1;376;352;0.116504854368932;0.100418410041841;0;2
1;13;189;2;11;280;2;5;2;10;2;155;3;270;-1;-1;-1;-1;-1;-1;-1;-1;242;122;0.835978835978836;0.992857142857143;2;3
2;10;306;6;13;474;2;5;2;10;2;20;2;40;1;40;-1;-1;-1;-1;-1;-1;336;352;0.209150326797386;0.10126582278481;1;2
8;11;298;2;10;89;2;5;2;10;2;20;0;0;-1;-1;-1;-1;-1;-1;-1;-1;377;392;0.077181208053691;0.089887640449438;2;0
3;14;492;0;13;250;2;5;2;10;2;20;0;0;-1;-1;-1;-1;-1;-1;-1;-1;377;392;0.046747967479675;0.032;2;0
0;10;158;5;8;448;2;5;2;10;2;45;1;45;-1;-1;-1;-1;-1;-1;-1;-1;352;347;0.30379746835443;0.118303571428571;2;1
0;11;107;7;8;217;2;5;2;10;2;19;1;19;-1;-1;-1;-1;-1;-1;-1;-1;378;373;0.205607476635514;0.124423963133641;2;1
2;10;30;6;13;292;2;5;2;10;2;20;1;20;-1;-1;-1;-1;-1;-1;-1;-1;377;372;0.766666666666667;0.095890410958904;2;1
2;13;194;6;13;461;2;5;2;10;2;20;2;40;2;91;1;91;-1;-1;-1;-1;285;260;0.592783505154639;0.303687635574837;2;1
5;10;292;1;5;169;2;5;2;10;2;20;0;0;-1;-1;-1;-1;-1;-1;-1;-1;377;392;0.078767123287671;0.047337278106509;2;0
1;12;35;8;4;166;2;5;2;10;2;18;1;18;-1;-1;-1;-1;-1;-1;-1;-1;379;374;0.6;0.156626506024096;2;1
1;5;233;3;14;455;2;5;2;10;2;20;2;40;0;0;-1;-1;-1;-1;-1;-1;376;352;0.103004291845494;0.105494505494506;0;2
0;14;312;8;2;477;2;5;2;10;2;20;2;40;0;0;-1;-1;-1;-1;-1;-1;376;352;0.076923076923077;0.10062893081761;0;2
0;9;30;4;3;451;2;5;2;10;2;7;2;14;2;1;2;2;1;2;-1;-1;385;375;0.5;0.055432372505543;1;2
0;5;87;3;8;180;2;5;2;10;2;49;1;49;-1;-1;-1;-1;-1;-1;-1;-1;348;343;0.597701149425287;0.316666666666667;2;1
3;5;298;0;13;205;2;5;2;10;2;20;0;0;-1;-1;-1;-1;-1;-1;-1;-1;377;392;0.077181208053691;0.039024390243903;2;0
2;10;64;5;3;473;2;5;2;10;2;20;2;40;0;0;-1;-1;-1;-1;-1;-1;376;352;0.375;0.101479915433404;0;2
8;2;258;2;13;97;2;5;2;10;2;20;0;0;-1;-1;-1;-1;-1;-1;-1;-1;377;392;0.089147286821706;0.082474226804124;2;0
0;5;200;7;14;484;2;5;2;10;2;118;1;118;-1;-1;-1;-1;-1;-1;-1;-1;279;274;0.605;0.260330578512397;2;1
8;8;496;1;2;179;2;5;2;10;2;20;0;0;-1;-1;-1;-1;-1;-1;-1;-1;377;392;0.046370967741936;0.044692737430168;2;0
0;12;273;5;9;498;2;5;2;10;2;20;2;40;0;0;-1;-1;-1;-1;-1;-1;376;352;0.087912087912088;0.096385542168675;0;2
4;12;427;2;10;198;2;5;2;10;2;20;2;40;1;40;-1;-1;-1;-1;-1;-1;336;352;0.149882903981265;0.242424242424242;1;2
3;9;470;0;12;125;2;5;2;10;2;20;0;0;-1;-1;-1;-1;-1;-1;-1;-1;377;392;0.048936170212766;0.064;2;0
7;12;274;2;12;183;2;5;2;10;2;20;2;23;1;23;-1;-1;-1;-1;-1;-1;353;369;0.171532846715328;0.169398907103825;1;2
0;14;276;6;6;469;2;5;2;10;2;20;2;40;0;0;-1;-1;-1;-1;-1;-1;376;352;0.086956521739131;0.102345415778252;0;2
5;5;435;2;11;191;2;5;2;10;2;20;2;40;1;40;-1;-1;-1;-1;-1;-1;336;352;0.147126436781609;0.25130890052356;1;2
2;11;49;7;2;324;2;5;2;10;2;20;1;20;-1;-1;-1;-1;-1;-1;-1;-1;377;372;0.469387755102041;0.08641975308642;2;1
1;14;68;7;11;311;2;5;2;10;2;5;2;10;1;10;-1;-1;-1;-1;-1;-1;381;382;0.279411764705882;0.057877813504823;1;2
5;4;367;1;2;192;2;5;2;10;2;20;0;0;-1;-1;-1;-1;-1;-1;-1;-1;377;392;0.062670299727521;0.041666666666667;2;0
1;5;438;2;10;174;2;5;2;10;2;20;2;40;0;0;-1;-1;-1;-1;-1;-1;376;352;0.054794520547945;0.275862068965517;0;2
3;14;421;2;14;271;2;5;2;10;2;20;1;20;-1;-1;-1;-1;-1;-1;-1;-1;377;372;0.054631828978622;0.103321033210332;2;1
6;7;381;2;14;154;2;5;2;10;2;20;0;0;-1;-1;-1;-1;-1;-1;-1;-1;377;392;0.060367454068242;0.051948051948052;2;0
6;7;246;0;12;148;2;5;2;10;2;20;0;0;-1;-1;-1;-1;-1;-1;-1;-1;377;392;0.09349593495935;0.054054054054054;2;0
7;10;363;1;10;241;2;5;2;10;2;20;0;0;-1;-1;-1;-1;-1;-1;-1;-1;377;392;0.0633608815427;0.033195020746888;2;0
5;10;398;0;12;136;2;5;2;10;2;20;0;0;-1;-1;-1;-1;-1;-1;-1;-1;377;392;0.057788944723618;0.058823529411765;2;0
1;7;388;2;10;311;2;5;2;10;2;20;0;0;-1;-1;-1;-1;-1;-1;-1;-1;377;392;0.059278350515464;0.02572347266881;2;0
0;9;52;7;9;166;2;5;2;10;2;32;1;32;-1;-1;-1;-1;-1;-1;-1;-1;365;360;0.673076923076923;0.240963855421687;2;1
1;8;426;1;2;167;2;5;2;10;2;20;0;0;-1;-1;-1;-1;-1;-1;-1;-1;377;392;0.053990610328639;0.047904191616767;2;0
5;5;458;2;10;83;2;5;2;10;2;20;2;40;1;40;-1;-1;-1;-1;-1;-1;336;352;0.139737991266376;0.578313253012048;1;2
0;11;51;0;14;147;2;5;2;10;2;22;0;0;-1;-1;-1;-1;-1;-1;-1;-1;375;392;0.490196078431373;0.054421768707483;2;0
0;8;59;8;2;448;2;5;2;10;2;21;2;42;0;0;-1;-1;-1;-1;-1;-1;375;350;0.423728813559322;0.111607142857143;0;2
1;8;246;6;9;487;2;5;2;10;2;20;2;40;0;0;-1;-1;-1;-1;-1;-1;376;352;0.097560975609756;0.098562628336756;0;2
3;9;436;1;5;139;2;5;2;10;2;20;0;0;-1;-1;-1;-1;-1;-1;-1;-1;377;392;0.052752293577982;0.057553956834532;2;0
1;7;471;2;11;332;2;5;2;10;2;20;2;40;0;0;-1;-1;-1;-1;-1;-1;376;352;0.050955414012739;0.144578313253012;0;2
1;4;485;1;5;188;2;5;2;10;2;20;0;0;-1;-1;-1;-1;-1;-1;-1;-1;377;392;0.047422680412371;0.042553191489362;2;0
1;2;256;3;5;468;2;5;2;10;2;20;2;40;0;0;-1;-1;-1;-1;-1;-1;376;352;0.09375;0.102564102564103;0;2
6;3;352;2;10;219;2;5;2;10;2;20;0;0;-1;-1;-1;-1;-1;-1;-1;-1;377;392;0.065340909090909;0.036529680365297;2;0
7;2;404;2;11;152;2;5;2;10;2;20;2;68;1;68;-1;-1;-1;-1;-1;-1;308;324;0.227722772277228;0.5;1;2
1;13;78;5;3;164;2;5;2;10;2;5;2;10;2;46;1;46;-1;-1;-1;-1;345;335;0.705128205128205;0.396341463414634;2;1
0;10;195;4;13;373;2;5;2;10;2;73;1;73;-1;-1;-1;-1;-1;-1;-1;-1;324;319;0.38974358974359;0.2171581769437;2;1
0;12;288;1;10;218;2;5;2;10;2;20;0;0;-1;-1;-1;-1;-1;-1;-1;-1;377;392;0.079861111111111;0.036697247706422;2;0
0;11;32;7;12;210;2;5;2;10;2;3;2;6;3;24;-1;-1;-1;-1;-1;-1;369;386;0.96875;0.066666666666667;3;2
1;6;286;2;11;31;2;5;2;10;2;20;2;0;1;0;-1;-1;-1;-1;-1;-1;376;392;0.083916083916084;0.258064516129032;1;2
1;12;58;7;7;179;2;5;2;10;2;16;1;16;-1;-1;-1;-1;-1;-1;-1;-1;381;376;0.327586206896552;0.134078212290503;2;1
7;2;456;0;14;123;2;5;2;10;2;20;0;0;-1;-1;-1;-1;-1;-1;-1;-1;377;392;0.050438596491228;0.065040650406504;2;0
6;13;480;2;10;184;2;5;2;10;2;20;2;40;1;40;-1;-1;-1;-1;-1;-1;336;352;0.133333333333333;0.260869565217391;1;2
4;2;373;2;14;216;2;5;2;10;2;20;1;20;-1;-1;-1;-1;-1;-1;-1;-1;377;372;0.061662198391421;0.12962962962963;2;1
1;2;254;2;12;114;2;5;2;10;2;20;0;0;-1;-1;-1;-1;-1;-1;-1;-1;377;392;0.090551181102362;0.070175438596491;2;0
5;5;307;1;10;133;2;5;2;10;2;20;0;0;-1;-1;-1;-1;-1;-1;-1;-1;377;392;0.074918566775244;0.06015037593985;2;0
1;13;125;4;13;274;2;5;2;10;2;46;1;46;-1;-1;-1;-1;-1;-1;-1;-1;351;346;0.392;0.197080291970803;2;1
1;2;482;2;10;222;2;5;2;10;2;20;2;40;0;0;-1;-1;-1;-1;-1;-1;376;352;0.049792531120332;0.216216216216216;0;2
6;3;439;2;12;176;2;5;2;10;2;20;2;40;1;40;-1;-1;-1;-1;-1;-1;336;352;0.145785876993166;0.272727272727273;1;2
2;6;62;6;8;167;2;5;2;10;2;10;1;10;-1;-1;-1;-1;-1;-1;-1;-1;387;382;0.209677419354839;0.107784431137725;2;1
1;6;399;1;7;145;2;5;2;10;2;20;0;0;-1;-1;-1;-1;-1;-1;-1;-1;377;392;0.057644110275689;0.055172413793104;2;0
7;14;408;1;9;215;2;5;2;10;2;20;0;0;-1;-1;-1;-1;-1;-1;-1;-1;377;392;0.056372549019608;0.037209302325581;2;0
5;2;452;2;14;208;2;5;2;10;2;20;2;40;1;40;-1;-1;-1;-1;-1;-1;336;352;0.141592920353982;0.230769230769231;1;2
3;4;393;1;12;59;2;5;2;19;2;38;0;0;-1;-1;-1;-1;-1;-1;-1;-1;359;383;0.104325699745547;0.288135593220339;2;0
2;10;53;3;6;388;2;5;2;10;2;20;1;20;-1;-1;-1;-1;-1;-1;-1;-1;377;372;0.433962264150943;0.072164948453608;2;1
1;5;129;1;11;80;2;5;2;3;2;6;2;21;0;0;-1;-1;-1;-1;-1;-1;390;378;0.077519379844961;0.275;0;2
4;7;417;2;12;101;2;5;2;10;2;20;3;91;-1;-1;-1;-1;-1;-1;-1;-1;377;301;0.05515587529976;0.98019801980198;2;3
7;11;304;1;2;185;2;5;2;10;2;20;0;0;-1;-1;-1;-1;-1;-1;-1;-1;377;392;0.075657894736842;0.043243243243243;2;0
